model,lr,beta,num_rules,mean_acc,std_acc,train_acc,val_acc
KeGCN,0.005,1.0,4,0.8053333759307861,0.0023094057105481625,0.9770119190216064,0.7445433735847473
KeGCN,0.005,0.5,2,0.8050000071525574,0.0020000040531158447,0.9783214330673218,0.7449399828910828
KeGCN,0.01,0.1,4,0.8046666979789734,0.0005773428129032254,0.9833095073699951,0.756119966506958
KeGCN,0.01,0.1,3,0.8029999732971191,0.006557445041835308,0.9821428656578064,0.7459766864776611
KeGCN,0.01,1.0,4,0.8020000457763672,0.012489993125200272,0.9827500581741333,0.7549499273300171
KeGCN,0.01,0.5,4,0.8016667366027832,0.004041468724608421,0.982535719871521,0.7512633204460144
KeGCN,0.005,1.0,3,0.8016666769981384,0.004618776962161064,0.9741190671920776,0.7377099394798279
KeGCN,0.005,0.1,2,0.8013333678245544,0.0020816391333937645,0.9680118560791016,0.7522867321968079
KeGCN,0.01,0.1,2,0.8006666302680969,0.017616262659430504,0.9798689484596252,0.7531366348266602
KeGCN,0.01,0.5,3,0.8003333210945129,0.00986577570438385,0.9834166169166565,0.7599866390228271
KeGCN,0.01,0.5,2,0.7980000376701355,0.007999986410140991,0.985333263874054,0.7542300224304199
KeGCN,0.01,1.0,2,0.7973334193229675,0.003511870512738824,0.9803927540779114,0.7439666986465454
KeGCN,0.005,1.0,2,0.797333300113678,0.005131593439728022,0.9720357060432434,0.7316499948501587
KeGCN,0.005,0.5,3,0.797333300113678,0.004163311794400215,0.9782976508140564,0.7463333606719971
KeGCN,0.005,0.1,4,0.796999990940094,0.011532572098076344,0.9672618508338928,0.7319334149360657
KeGCN,0.005,0.1,3,0.7933333516120911,0.010214373469352722,0.9720595479011536,0.7399399876594543
KeGCN,0.01,1.0,3,0.7930000424385071,0.007549827918410301,0.9810118675231934,0.7520633339881897
KeGCN,0.005,0.5,4,0.7910000681877136,0.008000016212463379,0.9801070094108582,0.7533766627311707
KeGCN,0.001,0.1,3,0.7903333306312561,0.005773497279733419,0.8964404463768005,0.6455933451652527
KeGCN,0.001,0.5,2,0.7890000343322754,0.008543984033167362,0.9308095574378967,0.7258066534996033
KeGCN,0.001,0.5,4,0.7886666655540466,0.012741017155349255,0.9137023687362671,0.6855766177177429
KeGCN,0.001,1.0,2,0.7863333225250244,0.0005773428129032254,0.9291428923606873,0.7132700085639954
KeGCN,0.001,0.1,4,0.7850000262260437,0.013999998569488525,0.9087023735046387,0.6932333707809448
KeGCN,0.001,0.5,3,0.7803333401679993,0.0037859242875128984,0.8759166598320007,0.6903833150863647
KeGCN,0.001,0.1,2,0.7790000438690186,0.005291524808853865,0.8994523882865906,0.652519941329956
KeGCN,0.001,1.0,4,0.7786666750907898,0.013051170855760574,0.9052262306213379,0.6572866439819336
KeGCN,0.001,1.0,3,0.7783333659172058,0.005131593439728022,0.8981667160987854,0.6868932843208313
KeGAT,0.01,0.5,3,0.7609999775886536,0.008717808872461319,0.9927024245262146,0.7245700359344482
KeGAT,0.001,1.0,4,0.7533333897590637,0.01650252752006054,0.9482976198196411,0.6905966401100159
